Eval num episodes,Eval avg final dist,Eval success ratio,Eval final l2 distance Mean,Eval final l2 distance Std,Eval final l2 distance Max,Eval final l2 distance Min,Eval final shaped distance Mean,Eval final shaped distance Std,Eval final shaped distance Max,Eval final shaped distance Min,Eval l2 distance Mean,Eval l2 distance Std,Eval l2 distance Max,Eval l2 distance Min,Eval shaped_distances Mean,Eval shaped_distances Std,Eval shaped_distances Max,Eval shaped_distances Min,policy loss,timesteps,epoch time (s),total time (s),Conditional loss,Marginal loss,Validation loss,Conditional Validation loss,Marginal Validation loss
50,0.7812214455628336,0.02,0.7812214455628336,0.30991249220350675,1.4630099730390977,0.07621261918854677,0.82675123313485,0.3306051259289902,1.5344977448622747,0.07621261918854677,0.7659142458412774,0.31219205521328725,1.4761253882516683,0.03319298823502377,0.8113006362543485,0.33324314847902947,1.5464673941925575,0.03319298823502377,0,0,4.308778762817383,4.30878210067749,0,0,0,0,0
50,0.7949137327729403,0.0,0.7949137327729403,0.3600996546983479,1.4796099510512954,0.13733268544409263,0.8283811251410543,0.37784272831382676,1.5448127582082445,0.13733268544409263,0.7804550914148518,0.3605519548542691,1.4880747159268337,0.009675453041178998,0.8138935092004259,0.37831778906680125,1.5523852900603394,0.009675453041178998,0,0.0,0.0,0.5399563569166907,0.27026493771585763,0.2696914104433208,2000,23.83283305168152,28.141627073287964
50,0.16691286436112696,0.56,0.16691286436112696,0.19318919333860157,0.7734837431811353,0.014199167595687403,0.2683000617099572,0.33335179471246557,1.0977900961897809,0.014199167595687403,0.20375341443345465,0.21665050110016534,1.0765349664471486,0.006216779536383035,0.2998393635755634,0.33339644493765025,1.153891148509904,0.006216779536383035,0.061573609744082006,0.030374009718033855,0.03119960067571366,0.31856355838927425,0.15740588577100587,0.16115766992190642,4000,36.65988564491272,64.80151796340942
50,0.2224883094404484,0.46,0.2224883094404484,0.24520163418967303,0.8780502758516932,0.00619751453838746,0.33643027298510175,0.3580773572252027,1.2385831864833632,0.00619751453838746,0.26506253325606155,0.2633176525487112,1.1863144375844528,0.004378577449433612,0.3692163531063409,0.35292604073524153,1.2946040933366332,0.004378577449433612,0.04608531775541938,0.022728852899151938,0.023356465534885035,0.24185315963800186,0.11933580092410427,0.12251735939861298,6000,36.99172282218933,101.7932505607605
50,0.21329758235476304,0.54,0.21329758235476304,0.25509493533991506,0.7880035030946773,0.00419288458774621,0.289875633034767,0.3618171442357434,1.0567194389669714,0.00419288458774621,0.2611178053713796,0.2793068359256651,1.0584698790823657,0.0030185567954833406,0.33038516962684716,0.36299749320197316,1.171059373152775,0.0030185567954833406,0.038536976843038,0.01892976629082502,0.01960721041059493,0.15163395431010146,0.07469213235429058,0.07694182012922098,8000,36.8895583152771,138.68281626701355
50,0.17946237948344404,0.5,0.17946237948344404,0.22440037080603467,0.8381164028177096,0.004472997263374102,0.26012729510604804,0.3260689478658902,1.1636873096023874,0.004472997263374102,0.22944626695654274,0.25456529299190545,1.138399033694004,0.0002725128803173683,0.30478343643504857,0.3326268631415426,1.25173180798505,0.0002725128803173683,0.021508741800792226,0.010558255743445733,0.010950486187428145,0.13527121968281697,0.06647686844643565,0.06879434975214327,10000,37.09343338012695,175.77625632286072
50,0.2794894803412117,0.46,0.2794894803412117,0.29862598631349224,0.9290132460270791,0.006342372738420636,0.37677487756616196,0.35723887780544467,1.090120210072385,0.006342372738420636,0.31358380908794964,0.3108288495841503,1.217422752741672,0.0028151200149252238,0.3986076872120879,0.357518249765864,1.3262467465157106,0.0028151200149252238,0.025628633986963245,0.012536041724251679,0.013092592917269764,0.09878735776975756,0.04853739277836795,0.050249965054484466,12000,36.98918604850769,212.76545238494873
50,0.3009132345594011,0.48,0.3009132345594011,0.3315341607747155,1.0509580539694012,0.004537673431529845,0.3945407906996827,0.39481824596025994,1.1533555482607871,0.004537673431529845,0.3321451600144608,0.3309692268666002,1.0999753231544407,0.0031526255081660987,0.41925700183652226,0.3862838753329421,1.1980979479267087,0.0031526255081660987,0.02163398383370082,0.010572605284679225,0.01106137845474667,0.08402732306635025,0.041167473062193816,0.04285984871285475,14000,37.03293299674988,249.7983911037445
50,0.30119328480179663,0.52,0.30119328480179663,0.34099221176609834,1.0523311352442553,0.003981610379213034,0.3680920998521698,0.3835644131970202,1.1557228793792478,0.003981610379213034,0.32797318197819525,0.33761470005457944,1.1256281496300196,0.003981610379213034,0.3886069843741333,0.3750494888364131,1.2169634272697678,0.003981610379213034,0.014902391242499721,0.007267646476091972,0.007634744392355193,0.06928980779813596,0.033823550748699444,0.03546625711513558,16000,37.16331648826599,286.96171259880066
50,0.24909353120222444,0.56,0.24909353120222444,0.31761160968375646,1.082149485246898,0.0028944162301630287,0.31167697325607546,0.36850104399921224,1.2123477665473417,0.0028944162301630287,0.2798180434890328,0.3171588841344488,1.1332373514595884,0.0018011281332314813,0.34191516937082045,0.3651270751785004,1.231832923812414,0.0018011281332314813,0.015526594302528916,0.007547068510435847,0.007979525873088412,0.06799487021459959,0.03321053808878277,0.034784332321266556,18000,36.9744029045105,323.9361231327057
50,0.29001258947913017,0.42,0.29001258947913017,0.27808356297680864,0.8829166544164982,0.005556859363065578,0.4273488383364655,0.37392073585314317,1.124065518912227,0.005556859363065578,0.341384668297845,0.287656257521434,1.1041933721677593,0.004691545604269503,0.46600464864146945,0.3631298633987207,1.2098928076221764,0.004691545604269503,0.007576252690555221,0.003668960564286329,0.0039072919154751395,0.05907852985329349,0.028792257825787152,0.030286271218620132,20000,37.06390929222107,361.0000374317169
50,0.2839592521053036,0.56,0.2839592521053036,0.3231815318103746,1.1145481663683703,0.008017106802717458,0.33103618235708665,0.3629476455768591,1.2376442153349532,0.008017106802717458,0.33382754993844876,0.32175286740748626,1.1695835388198697,0.0038807617195457714,0.38217004758614204,0.3587949487907464,1.2969341697778787,0.0038807617195457714,0.013805379729520926,0.006711050320111867,0.007094329267647976,0.05495033660366439,0.026761686924597166,0.02818864948933154,22000,36.89925670623779,397.8992991447449
50,0.2058406339787744,0.58,0.2058406339787744,0.25520483322255744,0.9733179218759979,0.003188147826949636,0.27328798773572255,0.32486690612741387,1.0984838450696477,0.003188147826949636,0.25358907304684597,0.27500237536533667,1.0284906234940443,0.0029701684186865273,0.31866991775646686,0.33132913767450334,1.166658078712913,0.0029701684186865273,0.009015891472800693,0.004366232996058834,0.004649658502847132,0.05240101036692169,0.025449059060665156,0.02695195170104837,24000,36.99879240989685,434.8980965614319
50,0.13161523093233032,0.74,0.13161523093233032,0.18159559918765444,0.6344471037550288,0.005770343672958335,0.18584991188866012,0.27426071409061875,0.9116393370338431,0.005770343672958335,0.20493242346223628,0.23214771533879777,0.8765064837612274,0.0015709893193408446,0.2547800652701728,0.29204173850725956,0.970132580424037,0.0015709893193408446,0.00774776791215746,0.0037395220036329745,0.004008245791255678,0.040451331578700365,0.01964534571713926,0.020805986174414662,26000,37.18913960456848,472.0872423648834
50,0.18912089836135423,0.64,0.18912089836135423,0.265796221467236,0.9290557946641796,0.0016238834049881641,0.26804345136730867,0.35899629272051375,1.1196636800104052,0.0016238834049881641,0.2681844370149852,0.2964526120362064,1.1495286016104551,0.0016237088183686534,0.3375888295970918,0.36430083465212404,1.2526454860817606,0.0016237088183686534,0.004804536712746662,0.0023354931100786477,0.0024690436548176838,0.04246089419020898,0.02063056220073665,0.021830331323018173,28000,37.07952523231506,509.16677594184875
50,0.24887235406978264,0.56,0.24887235406978264,0.28802469532027675,0.9360424991968738,0.004574174316242369,0.3174235085631693,0.36994977597563894,1.0697801560441376,0.004574174316242369,0.3001919102494093,0.2970960273418127,1.084065796320646,0.0007493774465318793,0.3620157501680569,0.36353529968809783,1.187737082302503,0.0007493774465318793,0.007504814552036736,0.0036223245424976207,0.0038824898125317973,0.029963841697229723,0.01454729511029012,0.01541654722260023,30000,37.03622913360596,546.2030096054077
