Eval num episodes,Eval avg final dist,Eval success ratio,Eval final l2 distance Mean,Eval final l2 distance Std,Eval final l2 distance Max,Eval final l2 distance Min,Eval final shaped distance Mean,Eval final shaped distance Std,Eval final shaped distance Max,Eval final shaped distance Min,Eval l2 distance Mean,Eval l2 distance Std,Eval l2 distance Max,Eval l2 distance Min,Eval shaped_distances Mean,Eval shaped_distances Std,Eval shaped_distances Max,Eval shaped_distances Min,policy loss,timesteps,epoch time (s),total time (s),Conditional loss,Marginal loss,Validation loss,Conditional Validation loss,Marginal Validation loss
50,0.629116417386353,0.02,0.629116417386353,0.24520009140126867,1.1058642307478086,0.046097709442820115,0.6793801692032123,0.26322943745138805,1.1917349585455137,0.046097709442820115,0.6219100054606197,0.24356716193274836,1.1058642307478086,0.046097709442820115,0.6713976680689633,0.2622949505064731,1.1917349585455137,0.046097709442820115,0,0,4.248971700668335,4.248976230621338,0,0,0,0,0
50,0.26282453240311027,0.34,0.26282453240311027,0.25126006626102493,0.8568098721311899,0.005209932328800542,0.39614374803156494,0.3921473394195181,1.2246649761120483,0.005209932328800542,0.294069752297756,0.2614165650586943,1.160249414640532,0.001850107158857497,0.42205228443428777,0.3852043069467882,1.2897629730265923,0.001850107158857497,4.288257105294094,2.107892887597611,2.180364253093398,4.408992423484584,2.1938915535900656,2.2151009319770263,2000,23.954187154769897,28.20317029953003
50,0.23356382616867355,0.36,0.23356382616867355,0.21634015171283025,0.796119801716493,0.006720388730205542,0.3411004430729519,0.3407126074242348,1.1431520390813734,0.006720388730205542,0.28786694659011136,0.2362856678958819,1.1029812557034295,0.00670204723495479,0.39050515874598646,0.33565926449272676,1.1960771610801788,0.00670204723495479,4.287787489783765,2.1041224263828058,2.183665063348016,4.400085943594988,2.1754413337714293,2.2246445380889903,4000,128.10800957679749,156.3111855983734
50,0.19607205593050087,0.48,0.19607205593050087,0.20316338628011632,0.7271425586151229,0.01209200499254649,0.2996206610760411,0.32954430933013645,1.0209248229428822,0.01209200499254649,0.23313929065756228,0.22239195298723388,1.0178115430059853,0.0022113635498702553,0.33041335162496455,0.32801620096541845,1.0842813797187545,0.0022113635498702553,4.2781108136611765,2.0986815359031583,2.179429287896183,4.371808974212505,2.1640029401134178,2.2078060092362404,6000,37.239505767822266,193.55069708824158
50,0.17234326029590805,0.52,0.17234326029590805,0.20049905989704767,0.7318333938179626,0.01978618439520598,0.2514385417766611,0.3283353305853182,1.0812817533646053,0.01978618439520598,0.22422859562018438,0.2345129289052057,1.0333512042512294,0.0002497629501735304,0.3008773511241948,0.336412427375838,1.152877504591313,0.0002497629501735304,4.277796072593842,2.0952439440024566,2.182552131554386,4.362924587226831,2.152093922800135,2.2108305693370123,8000,37.082525968551636,230.63323378562927
50,0.2557300732017154,0.48,0.2557300732017154,0.27120317060126276,0.8429776980123213,0.00634648340932804,0.3838397131328815,0.41861841772881214,1.194210104473825,0.00634648340932804,0.3021176465555116,0.28300404688241376,1.139816693836995,0.004877578197826219,0.42424790072662233,0.4103374132883315,1.2490194498593454,0.004877578197826219,4.265058477301098,2.085755859147536,2.1793025835960202,4.375858330715026,2.1623554848757522,2.213502932423968,10000,37.14313530921936,267.7763743400574
50,0.1806394939346273,0.48,0.1806394939346273,0.2145092910914277,0.7427232542972485,0.011141318618143246,0.24613416534316562,0.318344515782857,1.0610327496747132,0.011141318618143246,0.22909653673672037,0.2405990216038316,1.0222153267820802,0.006459660711852701,0.2920524831744043,0.32688884903439447,1.1235594482638585,0.006459660711852701,4.248538442471649,2.068548423608279,2.1799900881386756,4.357152866281176,2.1534093782097568,2.2037434447065953,12000,37.245221853256226,305.0216016769409
50,0.16496144715310115,0.56,0.16496144715310115,0.20689780310237585,0.8402144370553211,0.013582091115012584,0.20365977056211912,0.25387641871472544,1.1368266274846857,0.013582091115012584,0.21881996561508144,0.24039156281587712,1.1218824229361428,0.005697611950410352,0.2599166653611862,0.27979679064167834,1.2445532651850757,0.005697611950410352,4.217051147480803,2.04442254904646,2.1726285678762913,4.351380847061789,2.1369544959484528,2.2144262994743533,14000,37.915289878845215,342.93690061569214
50,0.12634743930136952,0.72,0.12634743930136952,0.18229851556144033,0.6511339604738213,4.806061500794981e-05,0.17490934891365428,0.2618622824013464,0.9159603122379916,4.806061500794981e-05,0.1882470204762307,0.23135575567726907,1.075257601331754,4.7904113783878486e-05,0.2324311956963888,0.285371365570281,1.172098072053484,4.7904113783878486e-05,4.194637788351639,2.0359342927045234,2.1587035176005913,4.312979238139822,2.107114489634986,2.205864736559185,16000,38.23467946052551,381.17158699035645
50,0.1897081167143719,0.56,0.1897081167143719,0.24930060498391438,0.9634595960451001,0.002870948222389261,0.24842156009305172,0.3250036964829829,1.0548261434343154,0.002870948222389261,0.23931547002404027,0.26934873506029106,1.017289784560393,0.00011020547310920733,0.29744629307836434,0.33267644385014233,1.1463655116136537,0.00011020547310920733,4.195445686015967,2.034219775406492,2.16122598582783,4.298770788920277,2.0938031195617697,2.2049677105610845,18000,38.148356199264526,419.31994915008545
50,0.15467320016819425,0.72,0.15467320016819425,0.22952417147039217,0.7785341284831765,0.003069621580793712,0.1927662003650286,0.29401379007102696,1.1323910461793396,0.003069621580793712,0.22319939586425686,0.2667502752511024,1.1284428360694305,0.0024416547828722403,0.26241011407844617,0.3189089121780767,1.2359376513054774,0.0024416547828722403,4.197947820648317,2.033650930149851,2.164296806151869,4.287023539329816,2.0831443296347953,2.2038792102348035,20000,38.14344644546509,457.4634008407593
50,0.11243239997058806,0.58,0.11243239997058806,0.1380381792928667,0.7318333938179625,0.00370790771832181,0.14390220433087061,0.18894546436228182,1.0812817533646053,0.00370790771832181,0.19560129494797526,0.22451030074355943,1.173450604608356,0.0032386427308435275,0.2266641242628959,0.2558566113893558,1.2942100194138741,0.0032386427308435275,4.16672263781147,2.0108495962218855,2.155872980639539,4.302506992969436,2.092125881161097,2.210381130930403,22000,38.126004457473755,495.589417219162
50,0.2523203872302115,0.44,0.2523203872302115,0.241540268294303,0.8371126703246401,0.01462408567546902,0.29910073875145765,0.2949776260694134,0.9833430181756417,0.01462408567546902,0.32491846823112136,0.2613954257763844,1.0331183260556622,0.003721330576116431,0.37165776285616764,0.30205177336514855,1.1516171011156553,0.003721330576116431,4.176262319718177,2.0246651467076595,2.151597201361912,4.24577473585299,2.053491093092128,2.1922837682492253,24000,38.838332176208496,534.4277548789978
50,0.16544984892256523,0.62,0.16544984892256523,0.2392421431943498,0.7738103372885976,0.005748562035419303,0.19958595613809804,0.2711852566018243,0.9719372228831664,0.005748562035419303,0.24401758798288778,0.2758076784772261,1.003968587451888,0.0021657796043193776,0.28292760884862705,0.3026916929331947,1.0755762189083213,0.0021657796043193776,4.127851876703852,1.9844586223195995,2.1433932763932124,4.195008181949382,2.0245321856556893,2.1704761329800895,26000,40.84019351005554,575.2679650783539
50,0.21332176840499123,0.56,0.21332176840499123,0.26767920007785506,0.8972909445938485,0.009879636535477597,0.2614691309326282,0.3128778979268587,1.0033652603779728,0.009879636535477597,0.2579007519055163,0.28930176402206104,1.139527451245759,0.0010567342133040337,0.30423711680434246,0.32632777017510695,1.2445065323087199,0.0010567342133040337,4.132292199322234,1.9867356489628571,2.1455566013498584,4.206276640770422,2.0372616496207234,2.169015009420253,28000,40.532371044158936,615.8003437519073
50,0.27899314545209086,0.46,0.27899314545209086,0.28221944591071946,0.8094517389435798,0.002480230141806611,0.31385536435844413,0.3166476281836287,0.8844624623708108,0.002480230141806611,0.3134278106169545,0.29251090161945176,1.1072364483285004,0.002480230141806611,0.35044593297851934,0.3247432708311098,1.2188819041719465,0.002480230141806611,4.1455148416393515,2.0004585896674194,2.1450561470681975,4.195651217833057,2.02389619376018,2.1717549125232174,30000,40.39953112602234,656.1998796463013
50,0.15352344320409592,0.7,0.15352344320409592,0.22674762851653169,0.759889310712711,0.0043814215784716715,0.16941566497712546,0.24055497286384328,0.7701736202206715,0.0043814215784716715,0.23301894721681066,0.26141402416141557,0.9444205688018009,0.003929864996489136,0.25319981839023314,0.2754161817184668,1.035337590103296,0.003929864996489136,4.122671803279657,1.9732690628278173,2.1494028386847503,4.173256248376948,2.011248790811395,2.1620075360981423,32000,40.29322528839111,696.4931168556213
